Name	Program 1	Program 2	Program 3	Program 4	Interests
"Mahjoub, Moe"	"Biochemistry, Biophysics, and Structural Biology"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology		"Research in my lab at Washington University focuses on the biology of centrosomes and cilia, the involvement of these essential cellular organelles in development, and their dysfunction in human disease.   We have developed innovative in vitro and in vivo systems focused on: (1) identifying regulators of centrosome and cilium assembly, using transgenic mouse strains and ex vivo cell culture systems, and (2) determining the consequences of abnormal centrosome and cilium biogenesis in mammalian development, with specific focus on cystic kidney disease. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Major, Ben"	"Biochemistry, Biophysics, and Structural Biology"	Cancer Biology	Computational and Systems Biology		"We study how perturbation of specific signal transduction pathways contributes to human disease. We employ a ""systems level"" integrative discovery platform to characterize pathway dynamics in normal and disease model systems. Specifically, we use protein mass spectrometry to define the protein-protein interaction/proximity networks and phosphorylation modification for the WNT and NRF2/oxidative stress signaling pathways. We then annotate the nodes within the network for function, as determined by established and novel functional genomic screening technologies. Integration of these data with disease-associated data gene expression yields a powerful tool for discovery - a disease annotated physical/functional map. Critical to our success is the development and implementation of computational scoring algorithms, relational database construction and data visualization. Ultimately, the models and hypotheses produced are challenged through mechanistic studies employing cultured cancer cells, mouse models, clinical tissue and various biochemical and cell biological systems. We are recruiting enthusiastic scientists into the following general research fields:
1. KEAP1/NRF2 oxidative stress response pathway in lung cancer, head and neck cancer, esophageal cancer and ParkinsonÕs Disease. Basic mechanisms, biochemistry, proteomics, drug screens, mouse models, a new clinical trial.
2. WNT signaling pathway in pancreas cancer and lung cancer. Basic mechanisms, biochemistry, proteomics, time resolved protein-protein interactions.
3. Understudied kinases altered in human disease. Protein-protein interaction and proximity networks. ORF screens. Phosphoproteomics.
4. Mass spectrometry-based proteomics. Phospho- and ubiquitylation proteomics. SureQuant clinical proteomics. Proteoinformatics. Data acquisition algorithm development.Ê
Lab Website"
"Majumdar, Susruta"	"Biochemistry, Biophysics, and Structural Biology"	Neurosciences			"Our goal is to understand molecular and neurobiological mechanisms of opioid action integrating chemical synthesis with biochemical, genetic and pharmacological approaches. Our eventual goal is to discover novel chemical probes/drugs, which can be useful in the treatment of pain and substance abuse, and which separate the opioid agonist mediated liabilities from its utility in medications development. Opiates such as morphine have been the preferred treatment of moderate to severe chronic pain. Clinically used mu opiate agonists/ analgesics (MOR) like morphine are associated with severe adverse-effects such as respiratory depression, constipation, physical dependence, reward, addiction and abuse liability. To overcome these problems, drugs in the kappa category were developed; however, kappa opioid agonists/ analgesics (KOR) had additional problems such as aversion, dysphoria and hallucinations. Delta opioid agonists (DOR) have been investigated as well, but the role of small molecule delta agonists has been limited due to the implication of these drugs in causing seizures. Thus, there remains a need for opioid drug targets/molecules, which will provide pain relief without side-effects.ÊWork from the laboratory has led to probes which display G-protein biased signaling, truncated transmembrane splice variants of mu opioid receptor agonists and aided the crystallization of kappa opioid receptor in its active form and cryo-EM structures of natural product bound mu opioid modulators. Presently we use two distinct strategies to achieve opioid functional selectivity using natural products pharmacology, targeting allosteric sub pockets in receptors and identifying the molecular blueprint of arrestin recruitment using structure based approaches.Ê
Lab Website"
"Marcus, Daniel"	Biomedical Informatics and Data Science	Cancer Biology	Neurosciences		"Dr. MarcusÕ laboratory builds imaging informatics and analysis tools, with a particular focus on neuroimaging. The laboratory has developed the XNAT imaging informatics platform (www.xnat.org), open source software used in facilities around the world to manage and share neuroimaging and related data. Dr. Marcus directs a number of service cores at the University, including for the AlzheimerÕs Disease Research Center, the Intellectual Developmental Disabilities Research Center, and NINDS Center Core for Brain Imaging. HeÕs also an investigator in several NIH-backed initiatives to develop a national informatics infrastructure, including the Biomedical Informatics Research Network (BIRN), the National Alliance for Medical Image Computing (NAMIC), and Informatics for Integrating Biology and the Bedside (I2B2)."
"Margolis, Todd"	Molecular Microbiology and Microbial Pathogenesis				"Herpes simplex infection, varicella zoster infection, ocular pain, molecular diagnostics, cost effective care via telemedicine 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Markovina, Stephanie"	Cancer Biology	Molecular Cell Biology			"My main research interests include identification of novel biomarkers for prognosis and response to radiation therapy for human solid tumors such as cervical cancer, using an approach which combines genetic and genomic studies to guide ÒsmartÓ proteomics analyses. Better stratification of patients prior to initiation of treatment, or early into treatment will allow individualized precision therapy for patients and ultimately better outcomes. Moreover, better understanding the molecular role of these biomarkers in cancer pathogenesis and tumor resistance to anticancer treatments such as radiation and chemotherapy will lead to the identification of novel potential therapeutic targets. 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Mathios, Dimitrios"	Biomedical Informatics and Data Science	Computational and Systems Biology	Molecular Genetics and Genomics		"Brain tumors are devastating for the individuals affected and present a challenge for the doctors taking care of them. Despite the technological and surgical advancements, many patients succumb to their disease and others have serious side effects related to their treatments. With my expertise in Cancer ImmunologyGenetics and Epigenetics, I have applied these tools towards the development of treatments before they become symptomatic, and at a point when they are easily resectable or curable with other treatments that could lead to improved outcomes. The Molecular Neuro-oncology lab is focused on developing genomic and epigenomic approaches for the development of liquid biopsy assays for non-invasive detection of brain tumors. The work performed is multidisciplinary and includes physicians, molecular biologists, and bioinformaticians."
"Mavers, Melissa"	Cancer Biology	Immunology	Molecular Cell Biology		"The Mavers Lab focuses on immune regulation of graft-versus-host disease (GVHD), a debilitating and potentially fatal complication of hematopoietic stem cell transplantation (HSCT) which arises from an allogeneic reaction of donor T cells to damaged host tissues. HSCT can cure high-risk malignancies and other diseases of the blood and bone marrow, yet success is limited as many patients develop this devastating complication.
We aim to elucidate the biological mechanisms underlying immune tolerance as well as the graft-versus-tumor (GVT) effect in HSCT and have the further objective to enhance the efficacy of cancer targeting cellular therapies and to develop immunoregulatory cell therapies for GVHD suppression. In particular, we are focusing on (i) understanding human and murine invariant natural killer T (iNKT) cell subset biology, (ii) engineering human iNKT cells to enhance immune suppression, and (iii) elucidating plasticity of murine iNKT cell subsets. These areas of research align with my overall scientific philosophy to incorporate aspects of both basic and translational research into my research program and facilitate my long-term research goal to develop interventions to modulate the immune environment to prevent or treat GVHD and enhance GVT.
Lab Website"
"Mbalaviele, Gabriel"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology			"Role of inflammasome in diseaseÊ
Lab Website"
"McAlinden, Audrey"	"Developmental, Regenerative and Stem Cell Biology"				"Understanding the molecular mechanisms regulating skeletal development and maintenance with an emphasis on cartilage tissue. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"McCall, Jordan"	"Biochemistry, Biophysics, and Structural Biology"	Molecular Cell Biology	Neurosciences		"The neural circuitry underlying chronic pain and negative affect, the development of new technology to interface with the central nervous system, and blind, unguided data analysis to detect critical structure of complex datasets. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"McCarthy, John"	Neurosciences				"I am interested in using mathematics to help understand biology. This requires patient collaborators: they must be willing to explain the problem to me in terms that I can understand. In return, I am happy to discuss how mathematics can be used to provide insight into the phenomena.Ê
At the moment, our research focuses on two specific goals using the data from the DIAN (Dominantly Inherited Alzheimer`s Network) project, which has already been collected, and is a well-characterized cohort. The age of onset of AD in this cohort is very close to that of their relatives (within a couple of years). Among the imaging markers that have been measured are the amount and distribution of Amyloid in the brain (amyloid plaques are a signature of AD); the distribution of glucose metabolism (measured using FDG (uorodeoxyglucose) as an imaging ligand), which shows how active different areas of the brain are; the volume of different brain regions (some shrink as the brain atrophies with AD); and the interconnectivity of the resting state (in a healthy brain, different regions` neural activity are correlated; as AD develops, this correlation breaks down).
Goal 1: How are these 4 imaging markers (Amyloid, glucose metabolism, volume, and resting state) related? What is the relationship between their topographies?
Goal 2: Using multivariate measurements, can we improve the prediction of time to onset? Is one set of measurements sufficient, or does longitudinal data improve the prediction?
Lab Website"
"McCoy, William"	"Biochemistry, Biophysics, and Structural Biology"	Immunology	Molecular Microbiology and Microbial Pathogenesis		I seek to improve our understanding and treatment of human skin diseases by integrating genomic and metabolomic analyses of microbial communities.
"McDermott, Kathleen"	Neurosciences				"Professor McDermott investigates human memory. More specifically, her research uses behavioral (traditional psychological) and functional neuroimaging (specifically, fMRI) techniques. One new line of research explores individual differences in learning. Specifically, people who learn quickly tend to also retain the newly-learned information well over the long-term. One`s capacity for efficient learning is highly reliable, and we aim to better understand the cognitive factors contributing to this ability. ÊAnother interest lies in exploring the link between remembering and imagination. How do we draw upon memory to envision potential future scenarios? How does imagination lead us to remember events that we did not overtly experience? Another interest is in how memory retrieval alters the accessibility of later memory. Specifically, taking a memory test does not simply assess memory but also enhances the likelihood of later remembering the tested material (and related information). Our lab is exploring these phenomena behaviorally and using fMRI.Ê
Lab Website"
"McNeill, Helen"	Cancer Biology	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology		"The overall goal of research in the McNeill lab is to understand at a cellular level how tissue growth and tissue organization are regulated during normal development, and how loss of this control leads to human disease.We use Drosophila and mouse genetics for in vivo analysis, as well as tissue culture and organoid approaches.  One major focus of the lab is the investigation of Fat cadherins.  Fat cadherins are enormous cell adhesion molecules that regulates cell proliferation, metabolism and cell polarity in all metazoa. We use Drosophila as a genetically tractable organism to investigate the basic and conserved mechanisms of Fat function and the control of Hippo pathway activity, and then extend our work to mammalian systems.  Our most recent work has uncovered a novel and exciting role for Fat cadherins in regeneration.We found that binding of Fat to its ligand Ds promotes Fat phosphorylation and signaling to the Hippo pathway. Now we are using proteomic screening to identify Fat cadherin pathway effectors, using BioID to identify interaction partners in a near physiological context. We also found that Ft cadherins undergo sequential cleavages release a cytosolic fragment that is imported into mitochondria (Fat-mito), where it binds Ndufv2, a component of CI.Our work on Fat and the Hippo pathway in mouse models has revealed a critical and unsuspected role for the Hippo growth control pathway in morphogenesis. Using whole animal conditional and organ-culture approaches, we found that loss of NF2 or LATS or overexpression of YAP leads to growth and elongation of the collecting ducts in the absence of branching morphogenesis. To understand better how branching is affected, we will conduct high-resolution time-lapse imaging of the induction of branching morphogenesis. We will also assay tissue tension at junctions in the developing kidney with laser ablation and reporter assays.In addition to our studies on Fat and the Hippo pathway, a new area of exciting research in the lab focuses on a novel nuclear membrane protein we isolated in genetic screens that we have found is essential for chromatin structure and fertility in flies, mice and fish.  This project is taking us into exploring how changes in the nuclear envelope impact gene expression and cell fate. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"McPherson, Jacob"	Neurosciences				"Dr. McPhersonÕs research is focused on interrelationships between the neural control of movement and pain processing after spinal cord injury (SCI) and stroke. His work is rooted in the tight co-regulation of neural transmission in spinal motor and pain pathways and is motivated by the reality that for many individuals living with neurological injury, daily life is a balancing act between movement and pain. The ultimate goal of his work is to develop therapeutic strategies that leverage the interconnectivity of spinal motor and sensory networks to drive multi-modal rehabilitation."
"McPherson, Laura"	Neurosciences				"The central theme of my research program is to study the ways in which neurologic dysfunction alters voluntary motor commands. In my lab, we use person-specific and group analyses to determine how pathologic motor commands correspond with movement impairments. We do this using neural and biomechanical measures of motor output as well as the development of technologies that will enable the neurorehabilitation field to address scientific questions that were previously intractable due to methodological and computational barriers.  We use our results to inform the development of rehabilitation interventions that are rooted in nervous system neuropathophysiology."
"Meacham, John"	"Biochemistry, Biophysics, and Structural Biology"				"My research vision is to realize new technologies and methods that enable investigation of otherwise inaccessible physical, chemical and biological processes. Introduction of micro- and nanotechnology concepts, as well as creative integration and coupling strategies, is critical to development of instruments and methods for control, observation and measurement of natural phenomena that occur at such scales. Micro- and nanoscale processes form a central theme of my professional training, connecting research thrusts in biology, medicine, thermal, fluidic and energetic systems, and micro-/nanofabrication. Research in the Scalable Integrated MicroSystems (SIMS) laboratory at Washington University (WU) synthesizes knowledge of microfluidics and microfabrication to establish new methods for intracellular delivery/transfection, to create acoustic cages for interrogation of microorganisms, to facilitate microfluidic chemical synthesis, to simulate the natural environment of cells and tissues, and to investigate interfacial phenomena that occur during multiphase and particulate flows.
Micro- and nanotechnologies are ideally-suited to manipulation and investigation of biological processes occurring at all scales (from sub-_m biomolecules and organelles to 1Ð10s of _m cells to mm-scale tissues) due to the dimensional similarity of target objects and typical micro-/nanostructures. Prior to WU, my work at OpenCell Technologies (an early stage biotech company that I co-founded) proved that application of biophysical actions on smaller-and-smaller scales enhances intracellular nanomaterial delivery. Since joining the faculty of WU, I have greatly expanded upon this theme to develop microfluidic solutions for manipulation and measurement of biomolecules, bacteria and motile microorganisms, among other cell types. Some technologies extend the applicability of an approach (on-chip antibody-construct synthesis), while others enable investigations that were not previously possible (acoustic caging of flagellated algae). Below, I briefly describe independent and collaborative projects in my current research program, which are focused on biological systems and human health."
"Mennerick, Steven"	Molecular Cell Biology	Neurosciences			"We study chemical excitation and inhibition by neurotransmitters in the central nervous system. Chemical transmission requires a fine balance as over-excitation or over-inhibition is detrimental to function and survival of neurons. In one project, we are studying the role of astrocytes in supporting the development and maintenance of chemical transmission.  One branch of this project is studying the role of astrocytes in neuroenergetics.  Another major emphasis is a collaborative effort to understand the mechanisms by which endogenous neuroactive steroids directly modulate GABA and glutamate receptor function. A final project uses a foreign dopamine-gated ion channel to interrogate and control dopamine transmission. For our studies we use electrophysiological, molecular, chemical biology and imaging techniques applied to neurons in culture, to brain slices, and to animals. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Meyer, Gretchen"	"Developmental, Regenerative and Stem Cell Biology"				"My Current research focuses on understanding how changes at the molecular and cellular level in skeletal muscle affect muscle structure and function.  And, in turn, how pathological changes in muscle loading and use affect cellular processes.  I currently have two main research projects, one looking at the progressive changes to the rotator cuff following a tear and another investigating the drivers and consequences of the development of intramuscular (extra-fibrillar) fat. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Meyers, Blake"	Computational and Systems Biology	Molecular Genetics and Genomics	Plant and Microbial Biosciences		"The primary focus of the Meyers lab is the biology of small RNAs in plants, including their diverse functions, biogenesis, and evolution. With our many collaborators, we have pioneered genomic analysis of small RNAs and their targets, working with ""next-gen"" sequencing technologies nearly since their invention. Our early work with next-gen sequencing led to the development of informatics and analysis tools that we used to characterize small RNA pathways in Arabidopsis, rice, maize and other plants. The lab continued to develop mRNA and small RNA analyses using different types of next-gen sequencing and techniques. The Meyers lab has widely applied these methods to study diverse plant genomes and their RNA products. Specific areas of research include microRNAs, heterochromatic siRNAs and the connection to DNA methylation, microRNA targets, non-coding RNAs, and gene silencing. A current emphasis of our work is phased, secondary siRNAs in plants (aka ""phasiRNAs""), including their roles in post-transcriptional control of diverse protein-coding genes, and in reproductive biology, mainly in anthers. Originally characterized in grasses, there are two classes of phasiRNAs are transiently abundant during anther development, at the premeiotic and meiotic stages; we have shown these emerged coincident with flowering plants and were lost in some lineages. The roles of these small RNAs are poorly characterized, and many of our current experiments focus on these molecules.
We also continue to study disease resistance genes in plants, name the NLR or ""NB-LRR"" genes that provide the first line of defense in many specific plant-pathogen interactions. These genes are targets of an unusually diverse set of microRNAs, triggering phasiRNAs, and providing an excellent case study for post-transcriptional control and its evolution in plants.
Lab Website"
"Micchelli, Craig"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Genetics and Genomics			"Stem cells constitute an essential reservoir of renewal potential conserved during evolution. The defining properties of self-renewal and multipotency make stem cells ideally suited for a central role in the generation of new cells during the lifetime of an organism.  Our laboratory investigates the basis of stem cell behavior in their native tissue microenvironments.  We use the powerful molecular, genetic and cell lineage tracing methodologies available only in the fruit fly, Drosophila melanogaster, to dissect the mechanisms controlling stem cell activity during the processes of development, regeneration and disease.  In this way, we hope to define the core principles and regulatory circuitry that govern stem cell behavior.   Such advances may ultimately translate into novel regenerative medicine therapies. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Milbrandt, Jeffrey"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology	Molecular Genetics and Genomics		"Axonal degeneration is a major component of many diseases, including hereditary neuropathy, diabetes, amyotrophic lateral sclerosis (ALS), and multiple sclerosis. Mitochondrial dysfunction caused by mutations or toxins is also closely associated with both axonopathy and neurodegenerative disease. Through studies of Wld mutant mice, we found that enzymes involved in cellular energetics (NAD biosynthesis), the longevity-associated protein SIRT1, and resveratrol, a polyphenol found in red wine, can protect against axonal degeneration after injury or mitochondrial damage. To understand how deficits in neuronal metabolism lead to inappropriate responses to stress and result in disease, we are exploring how changes in energy utilization and production influence neuronal function in mice engineered to have deficits in NAD biosynthetic pathways, mitochondrial proteins, and AMP kinase subunits. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Miller, Mark"	Immunology	Molecular Microbiology and Microbial Pathogenesis			"My group is using multi-photon microscopy (MPM) in combination with histological and genetic approaches to study the immune response to bacterial infection in the spleen. The spleen plays a crucial role in host defense by trapping and destroying blood-borne pathogens and triggering the adaptive immune response. However, few details are known regarding how early host-pathogen interactions lead to antigen presentation and immunity. Preliminary results from my lab indicate that bacterial challenge in mice induces the rapid redistribution of splenic macrophages and dendritic cells in a bacteria-specific fashion. Our hypothesis is that tissue remodeling serves an Òantigen transportÓ function that delivers pathogen-derived antigens to distinct microenvironments for presentation. Because both the antigen presenting cell type and the local environment impact the immune response, this could provide a mechanism to tailor immune responses to a wide-range of pathogens. We are focusing our investigations on three key stages of infection: 1) the initial capture and fate of bacteria in marginal zone macrophages and dendritic cells, 2) the migration of these cells in response to infection, and 3) bacterial-antigen presentation in tissue microenvironments and its influence on the subsequent adaptive immune response. Moreover, the multi-dimensional cell tracking data from these studies is being used to create in silico models of infection and immunity in the hope of providing fresh mechanistic insight into microbial pathogenesis and guide vaccine development. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Miller, Timothy"	"Biochemistry, Biophysics, and Structural Biology"	Molecular Cell Biology	Neurosciences		"My research program focuses on:1. Gene down regulation strategies (RNAi and antisense oligonucleotides) to understand disease pathogenesis and provide novel therapies for neurodegenerative diseases, in particular amyotrophic lateral sclerosis (ALS)2. How dysfunction of mitochondria causes loss of motor neurons. 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Millman, Jeffrey"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology			"We use human pluripotent stem cells to model _ cell development and differentiation. We have successfully generated a new state-of-the-art protocol for the in vitro generation of glucose-responsive SC-_ cells secreting high amounts of insulin with secretion dynamics approaching that of primary islets, presenting robust first and second phase insulin secretion curves capable of rapidly reversing diabetes in mouse models. Using our SC-_ cell differentiation strategies and expertise with bulk and single-cell RNA sequencing technologies we have identified and are investigating novel signaling pathways regulating _ cell differentiation and functional maturation.
Lab Website"
"Miner, Jeff"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology			"My laboratory uses basic science approaches to investigate clinically relevant issues.  The first deals with the role of the glomerular basement membrane in kidney function and disease.  We study the laminin, type IV collagen, and proteoglycan components of the basement membrane to understand how they function in glomerular filtration.  We use two mouse models that serve as models for human kidney disease.  Col4a3-/- mice lack the type IV collagen alpha3 chain and model Alport syndrome, or hereditary glomerulonephritis.  Lamb2-/- mice lack the laminin beta2 chain and model Pierson syndrome, a form of congenital nephrotic syndrome.  We are using these mice to determine how abnormalities in the glomerular basement membrane affect its intrinsic permeability and its signaling to the adjacent epithelial and endothelial cells. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Mirica, Liviu"	"Biochemistry, Biophysics, and Structural Biology"				"Our research interests are focused on using chemical synthesis to develop specific inhibitors of histone demethylases and to design therapeutic and imaging chemical agents for AlzeimerÕs disease. By nature, this work is highly interdisciplinary, benefiting from input from biochemists and inorganic chemists, organic and medicinal chemists. A collaborative approach will help attack the problems from multiple angles and thus allow for a detailed understanding of the underlying chemical and biochemical processes. The proposed studies are expected to attract graduate students with different research interests and to provide them with a broad knowledge base.
Histone Demethylases. Non-heme iron enzymes catalyze a wide range of oxidation and oxygenation reactions that have environmental, pharmaceutical, and medical significance. These enzymes, although exhibit a similar overall fold, exhibit different substrate specificity. This project aims to design and synthesize specific inhibitors of non-heme iron enzymes by taking advantage of the enzymeÕs substrate specificity. Of particular interest are histone demethylases, a new class of enzymes that play an important role in regulating transcription and epigenetic inheritance. The developed inhibitors could be used as tools for studying the role of histone demethylases in cell function and development. Insights into the specificity of these enzymes will provide opportunities to advance therapeutics related to stem cell technology and cancer treatment.
Amyloid b Peptides in AlzheimerÕs Disease. AlzheimerÕs Disease (AD) is the most common neurodegenerative disease. Presently around five million people are diagnosed with AD in the US and the number is expected to reach fourteen million by 2050. The brains of patients with AD are characterized by the deposition of amyloid b (Ab) peptide plaques, which accumulate unusually high concentrations of copper, iron, and zinc. We are interested in the interaction of transition metal ions with Ab peptides and the role of metal ions in amyloid plaque and reactive oxygen species (ROS) formation. Additionally, a novel bifunctional strategy will be used to develop inhibitors of Ab peptide aggregation and imaging agents for Ab aggregates, which could provide improved strategies for the prevention, diagnosis, and treatment of AD.
Lab Website"
"Mitra, Robi"	Computational and Systems Biology	Molecular Genetics and Genomics			"We develop genomic technologies and apply systems biology principles to study development. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Mitreva, Makedonka"	"Biochemistry, Biophysics, and Structural Biology"	Computational and Systems Biology	Molecular Genetics and Genomics		"There are two main threads to my current research. The continued development of molecular information, bioinformatics tools, and reagents for the study of parasitic infections is crucial, therefore I take advantage of next-generation technologies and implement comparative genomics approaches to study the biology and cellular pathways of these important parasites. The second area of my research is focused on the human microbiome. The approaches I am undertaking in these two areas have the potential for significant impact due to the recent explosion in the amount of data requiring analysis. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Moeller, Kevin"	"Biochemistry, Biophysics, and Structural Biology"				"Rigid peptide analogs. While constrained peptide mimics can serve as valuable chemical probes for determining the biologically active conformation of peptides, the difficulties associated with their synthesis often limit their utility. In order to address this problem, we have been developing new tools for constructing peptide mimics that allow for the rapid insertion of conformational constraints into pre-selected sites within a peptide. This chemistry capitalizes on the use of electroauxiliaries that allow for the selective oxidation of a single nitrogen within the peptide backbone. The oxidation reactions can be conducted using either anodic electrochemistry or chemical oxidants. Once the constrained peptide mimics are constructed, they are used to ÒmapÓ the conformational requirements of peptide receptors for which there is limited structural data available.
Oxidative Cyclization Reactions. The formation of new carbon-carbon bonds and the generation of new ring compounds lies at the heart of synthetic organic chemistry. New reactions that can generate the cyclic framework that provides the three-dimensional structure of a molecule can change not only particular steps within a synthesis but also the entire synthetic route being examined. Recently, we discovered that anodic electrochemistry could be used to efficiently generate and study highly reactive radical cation intermediates. The radical cation intermediates were used to initiate a variety of new cyclization reactions that accomplished the net coupling of two electron-rich nucleophiles. These reactions are currently being used to construct a variety of biologically interesting natural products.
Chips. How does one generate a library of 10,000 or more molecules in a 1 cm2 area so that each of the molecules is located in a unique, individually addressable location? The generation of such a library would be useful for screening the gene products generated by a cell. In an effort to answer this question, we are currently exploring the scope of the synthetic chemistry that can be performed at specific, pre-selected locations on a chip.
Lab Website"
"Mokalled, Mayssa"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Genetics and Genomics	Neurosciences		"Mechanisms of tissue regeneration after spinal cord injury 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Mollah, Shamim"	Biomedical Informatics and Data Science	Cancer Biology	Computational and Systems Biology		"Our research goal is to interpret and distill the complexity of cancer and other rare diseases through integration of large scale multi-omics data using dynamic modeling, graph theory, and machine learning methods. We aim to apply these methods to study challenging cancer biology problems, particularly how chromatin alterations influence cellular phenotypes in response to genetics, environments, and pharmacological perturbations. By integrating large datasets, we hope to extract relevant information necessary to make precise biological and clinical predictions and computationally direct experiments. The primary focus of our lab is to produce high-resolution computational models to study the effects of genetic and epigenetic perturbations on chromatin alterations that affect cellular states, elucidating the molecular mechanisms of cancer and other diseases.
 
Research Projects:

Cancer systems biology
-----Chromatin remodeling in cancer
-----Cancer subtyping
-----Targeting cancer stemness pathway in breast cancer
-----Single-cell approaches to address tumor heterogeneity
-----Pharmacodynamics & pharmacokinetics of anti-cancer drugs
-----Biomarker discovery in cancer
-----Cancer immunotherapy
Modeling gene regulatory networks
Genotype-phenotype correlation
Natural language processing 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Monosov, Ilya"	Neurosciences				"By working with animals, humans, and computational models, our team aims to uncover the neuronal-basis of adaptive and maladaptive decision making, learning, and cognition, and to reverse engineer the complex internal states that give rise to psychiatric disorders.We are especially interested in the neurobiology of (i) risky decision-making under uncertainty, (ii) exploration and novelty-seeking, (iii) appetitive and aversive learning, and (iv) curiosity.We wish to discover how such sophisticated cognitive behaviors are controlled in health and disease.In terms of techniques, the laboratory combines cutting-edge large-scale neurophysiology, circuit-mapping, and causal circuit-disruption approaches in non-human primates and mice. We also regularly perform human behavioral experiments, and utilize computational methods, aiming to understand the algorithms agents employ to adaptively (or maladaptively) control cognitive behaviors.Modern neuroscience spans systems, computational, and molecular approaches. Therefore, to improve our chances of making important discoveries we utilize a wide range of techniques and are always open to collaborate with and train students with a wide range of skill sets such as neuroscience, biology, engineering, computer science, economics, or/and psychology.Ê
Lab Website"
"Moran, Daniel"	Neurosciences				"My primary research interest is in the area of voluntary motor control. My lab investigates how various neural substrates control voluntary movement. Specifically, I am interested in cortical representation of arm movements. Our recent findings show that individual cells in the primary motor cortex encode both the direction and speed of an impending movement. Combining the activity of a number (~100) of these motor cortical cells, a high-fidelity prediction of hand velocity is observed approximately a tenth of a second before it is performed by the limb. This information has been utilized by several research groups for both open-loop, real-time kinematic control of robotic arms as well as closed-loop control of a virtual reality environment.
Motor learning and neural plasticity is another research area in which I am very interested. All the motor cortical studies to date have used over-trained subjects during their recordings in order to average data over many recording sessions. However, with recent advances in multi, single-unit chronic recording methods, a naive subject can be recorded over a period of months to investigate what role various areas of cerebral cortex play in motor learning. How motor cortical activity changes over multiple motor learning sessions is invaluable data for designing motor cortical controlled neuroprostheses.
Future research projects will involve controlling complex 3D musculoskeletal models with cortical signals. This research will initially utilize real-time cortical recordings in non-human primates in a virtual reality environment. However, instead of controlling arm kinematics directly, the cortical signal would be applied through optimization routines which will determine individual muscle activation levels. These levels would then be fed through the musculoskeletal model of the arm with the resulting kinematics displayed by the virtual arm. When successful, the subjects arm could be deenervated and implanted with stimulators for experimental testing of FNS restoration of voluntary arm movement by a cortical implant.
Lab Website"
"Morgan, Josh"	"Developmental, Regenerative and Stem Cell Biology"	"Evolution, Ecology and Population Biology"	Neurosciences		"To identify factors that determine whether or not two neurons will connect to one another and to understand how these decisions shape the synaptic networks responsible for processing visual information. The core of my approach to answering these questions has been careful imaging of synaptic connectivity in developing and mature neural circuits. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Morley, Sharon"	Immunology	Molecular Cell Biology	Molecular Microbiology and Microbial Pathogenesis		"Regulation of adaptive and innate immunity by actin-binding proteins, currently focusing on the role of the bundling protein L-plastin. Mice deficient for L-plastin exhibit defects in T and B cell chemotaxis and activation due to failures of cellular polarization and maintenance of cell contacts. I am also developing a research interested into pulmonary immunity and the immune response in pneumococcal pneumonia. 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
